gold_label,gold_token,doc_idx,sent_idx
3,Nairobi,0,5
0,on,0,5
0,July,0,5
0,24,0,5
0,and,0,5
0,will,0,5
0,be,0,5
0,attended,0,5
0,by,0,5
3,US,0,5
0,President,0,5
1,Barack,0,5
2,Obama,0,5
0,.,0,5
0,The,0,6
0,manufacturers,0,6
0,",",0,6
0,like,0,6
0,other,0,6
0,local,0,6
0,entrepreneurs,0,6
0,and,0,6
0,innovators,0,6
0,",",0,6
0,have,0,6
0,been,0,6
0,allocated,0,6
0,exhibition,0,6
0,stands,0,6
0,at,0,6
0,the,0,6
0,summit,0,6
0,venue,0,6
0,from,0,6
0,where,0,6
0,they,0,6
0,will,0,6
0,showcase,0,6
0,their,0,6
0,products,0,6
0,and,0,6
0,facilitate,0,6
0,investors,0,6
0,interested,0,6
0,in,0,6
0,entering,0,6
3,East,0,6
4,Africa,0,6
0,'s,0,6
0,largest,0,6
0,economy,0,6
0,.,0,6
5,Kenya,0,7
6,Bankers,0,7
6,Association,0,7
0,chief,0,7
0,executive,0,7
1,Habil,0,7
2,Olaka,0,7
0,said,0,7
0,lenders,0,7
0,would,0,7
0,be,0,7
0,keen,0,7
0,to,0,7
0,find,0,7
0,financing,0,7
0,opportunities,0,7
0,in,0,7
0,deals,0,7
0,struck,0,7
0,between,0,7
0,local,0,7
0,and,0,7
0,foreign,0,7
0,entrepreneurs,0,7
0,for,0,7
0,new,0,7
0,and,0,7
0,established,0,7
0,ventures,0,7
0,.,0,7
0,"""",0,8
0,The,0,8
0,summit,0,8
0,will,0,8
0,provide,0,8
0,lenders,0,8
0,with,0,8
0,a,0,8
0,platform,0,8
0,to,0,8
0,showcase,0,8
0,their,0,8
0,products,0,8
0,",",0,8
0,"""",0,8
0,said,0,8
0,Mr,0,8
1,Olaka,0,8
0,adding,0,8
0,that,0,8
3,Nairobi,0,8
0,'s,0,8
0,hosting,0,8
0,of,0,8
0,the,0,8
0,global,0,8
0,event,0,8
0,was,0,8
0,a,0,8
0,vote,0,8
0,of,0,8
0,confidence,0,8
0,in,0,8
0,the,0,8
0,economy,0,8
0,.,0,8
3,Kenya,0,9
0,accounted,0,9
0,for,0,9
0,the,0,9
0,lion,0,9
0,'s,0,9
0,share,0,9
0,of,0,9
0,private,0,9
0,equity,0,9
0,in,0,9
3,East,0,9
4,Africa,0,9
0,taking,0,9
0,63,0,9
0,per,0,9
0,cent,0,9
0,of,0,9
0,the,0,9
0,reported,0,9
0,$,0,9
0,800,0,9
0,million,0,9
0,worth,0,9
0,of,0,9
0,deals,0,9
0,between,0,9
0,2007,0,9
0,and,0,9
0,2014,0,9
0,.,0,9
0,The,0,10
0,private,0,10
0,equity,0,10
0,survey,0,10
0,by,0,10
0,financial,0,10
0,consultancy,0,10
5,KPMG,0,10
0,and,0,10
0,the,0,10
5,East,0,10
6,Africa,0,10
6,Venture,0,10
6,Capital,0,10
6,Association,0,10
0,(,0,10
5,Eavca,0,10
0,),0,10
0,released,0,10
0,last,0,10
0,month,0,10
0,placed,0,10
3,Kenya,0,10
0,ahead,0,10
0,of,0,10
0,ahead,0,10
0,of,0,10
3,Ethiopia,0,10
0,",",0,10
3,Tanzania,0,10
0,",",0,10
3,Rwanda,0,10
0,and,0,10
3,Uganda,0,10
0,.,0,10
0,Several,0,11
0,state,0,11
0,-,0,11
0,backed,0,11
0,agencies,0,11
0,charged,0,11
0,with,0,11
0,promoting,0,11
0,and,0,11
0,attracting,0,11
0,foreign,0,11
0,direct,0,11
0,investments,0,11
0,will,0,11
0,also,0,11
0,be,0,11
0,on,0,11
0,a,0,11
0,charm,0,11
0,offensive,0,11
0,to,0,11
0,sell,0,11
0,the,0,11
0,country,0,11
0,.,0,11
0,The,0,12
0,list,0,12
0,includes,0,12
5,Kenya,0,12
6,Investment,0,12
6,Authority,0,12
0,",",0,12
5,Kenya,0,12
6,National,0,12
6,Chamber,0,12
6,of,0,12
6,Commerce,0,12
6,&,0,12
6,Industry,0,12
0,and,0,12
0,the,0,12
5,Brand,0,12
6,Kenya,0,12
6,Board,0,12
0,.,0,12
3,Kenya,0,13
0,is,0,13
0,the,0,13
0,first,0,13
0,country,0,13
0,in,0,13
3,sub,0,13
4,-,0,13
4,Saharan,0,13
4,Africa,0,13
0,to,0,13
0,host,0,13
0,the,0,13
0,annual,0,13
0,summit,0,13
0,and,0,13
0,second,0,13
0,in,0,13
3,Africa,0,13
0,after,0,13
0,last,0,13
0,year,0,13
0,'s,0,13
0,edition,0,13
0,in,0,13
3,Morocco,0,13
0,.,0,13
0,President,0,14
1,Uhuru,0,14
2,Kenyatta,0,14
0,is,0,14
0,co-hosting,0,14
0,the,0,14
0,summit,0,14
0,with,0,14
0,his,0,14
0,American,0,14
0,counterpart,0,14
0,.,0,14
3,Kenya,0,15
0,'s,0,15
0,private,0,15
0,sector,0,15
0,last,0,15
0,year,0,15
0,lost,0,15
0,its,0,15
0,jobs,0,15
0,creation,0,15
0,momentum,0,15
0,in,0,15
0,the,0,15
0,wake,0,15
0,of,0,15
0,a,0,15
0,slow,0,15
0,-,0,15
0,down,0,15
0,in,0,15
0,growth,0,15
0,to,0,15
0,5.3,0,15
0,per,0,15
0,cent,0,15
0,from,0,15
0,5.7,0,15
0,per,0,15
0,cent,0,15
0,the,0,15
0,previous,0,15
0,year,0,15
0,.,0,15
0,Official,0,16
0,data,0,16
0,shows,0,16
0,that,0,16
0,the,0,16
0,sector,0,16
0,created,0,16
0,"69,600",0,16
0,formal,0,16
0,jobs,0,16
0,down,0,16
0,from,0,16
0,"106,200",0,16
0,the,0,16
0,previous,0,16
0,year,0,16
0,.,0,16
0,In,0,17
0,comparison,0,17
0,",",0,17
0,the,0,17
0,public,0,17
0,sector,0,17
0,created,0,17
0,a,0,17
0,paltry,0,17
0,"17,500",0,17
0,jobs,0,17
0,last,0,17
0,year,0,17
0,",",0,17
0,underlining,0,17
0,the,0,17
0,critical,0,17
0,role,0,17
0,of,0,17
0,the,0,17
0,private,0,17
0,sector,0,17
0,in,0,17
0,jobs,0,17
0,growth,0,17
0,.,0,17
0,Launched,0,18
0,by,0,18
0,President,0,18
1,Obama,0,18
0,in,0,18
0,2009,0,18
0,",",0,18
5,GES,0,18
0,brings,0,18
0,together,0,18
0,entrepreneurs,0,18
0,and,0,18
0,investors,0,18
0,from,0,18
0,across,0,18
3,Africa,0,18
0,and,0,18
0,around,0,18
0,the,0,18
0,world,0,18
0,annually,0,18
0,to,0,18
0,showcase,0,18
0,innovative,0,18
0,projects,0,18
0,",",0,18
0,exchange,0,18
0,new,0,18
0,ideas,0,18
0,",",0,18
0,and,0,18
0,help,0,18
0,spur,0,18
0,economic,0,18
0,opportunity,0,18
0,.,0,18
0,The,0,19
0,2015,0,19
5,GES,0,19
0,agenda,0,19
0,will,0,19
0,focus,0,19
0,on,0,19
0,generating,0,19
0,new,0,19
0,investments,0,19
0,for,0,19
0,entrepreneurs,0,19
0,",",0,19
0,with,0,19
0,a,0,19
0,particular,0,19
0,focus,0,19
0,on,0,19
0,women,0,19
0,and,0,19
0,youth,0,19
0,.,0,19
0,Billionaire,0,20
0,businessman,0,20
1,Chris,0,20
2,Kirubi,0,20
0,said,0,20
0,that,0,20
0,he,0,20
0,expected,0,20
0,the,0,20
0,summit,0,20
0,to,0,20
0,translate,0,20
0,into,0,20
0,increased,0,20
0,dealings,0,20
0,between,0,20
3,Kenya,0,20
0,and,0,20
0,the,0,20
3,US,0,20
0,and,0,20
0,capital,0,20
0,inflows,0,20
0,.,0,20
5,KAM,0,21
0,said,0,21
0,the,0,21
0,recent,0,21
0,renewal,0,21
0,of,0,21
0,the,0,21
0,African,0,21
0,Growth,0,21
0,and,0,21
0,Opportunity,0,21
0,Act,0,21
0,(,0,21
0,Agoa,0,21
0,),0,21
0,",",0,21
0,which,0,21
0,allows,0,21
0,exports,0,21
0,to,0,21
0,the,0,21
3,US,0,21
0,duty,0,21
0,free,0,21
0,",",0,21
0,would,0,21
0,help,0,21
0,balance,0,21
3,Kenya,0,21
0,'s,0,21
0,global,0,21
0,trade,0,21
0,.,0,21
0,"""",0,22
0,We,0,22
0,have,0,22
0,in,0,22
0,the,0,22
0,past,0,22
0,not,0,22
0,utilised,0,22
0,the,0,22
0,Agoa,0,22
0,opportunity,0,22
0,to,0,22
0,its,0,22
0,full,0,22
0,potential,0,22
0,.,0,22
0,We,0,23
0,have,0,23
0,only,0,23
0,been,0,23
0,strong,0,23
0,on,0,23
0,the,0,23
0,textile,0,23
0,front,0,23
0,.,0,23
0,It,0,24
0,'s,0,24
0,high,0,24
0,time,0,24
0,we,0,24
0,leveraged,0,24
0,on,0,24
0,the,0,24
0,remaining,0,24
0,6400,0,24
0,products,0,24
0,that,0,24
0,enjoy,0,24
0,tax,0,24
0,-,0,24
0,free,0,24
0,access,0,24
0,to,0,24
0,the,0,24
3,US,0,24
0,market,0,24
0,",",0,24
0,"""",0,24
0,said,0,24
0,Ms,0,24
1,Wakiaga,0,24
0,adding,0,24
0,that,0,24
3,Kenya,0,24
0,needs,0,24
0,to,0,24
0,invest,0,24
0,in,0,24
0,value,0,24
0,addition,0,24
0,to,0,24
0,sharpen,0,24
0,its,0,24
0,competitiveness,0,24
0,even,0,24
0,in,0,24
0,the,0,24
0,absence,0,24
0,of,0,24
0,such,0,24
0,preference,0,24
0,treatment,0,24
0,.,0,24
3,Kenya,0,25
0,'s,0,25
0,exports,0,25
0,to,0,25
0,the,0,25
3,US,0,25
0,stood,0,25
0,at,0,25
0,Ksh38,0,25
0,billion,0,25
0,",",0,25
0,attributable,0,25
0,largely,0,25
0,to,0,25
0,the,0,25
0,Agoa,0,25
0,trade,0,25
0,agreement,0,25
0,",",0,25
0,which,0,25
0,was,0,25
0,recently,0,25
0,renewed,0,25
0,for,0,25
0,another,0,25
0,10,0,25
0,years,0,25
0,.,0,25
0,The,0,26
0,Agoa,0,26
0,window,0,26
0,",",0,26
0,introduced,0,26
0,by,0,26
0,former,0,26
0,President,0,26
1,Bill,0,26
2,Clinton,0,26
0,'s,0,26
0,administration,0,26
0,in,0,26
0,2000,0,26
0,",",0,26
0,allows,0,26
3,Kenya,0,26
0,and,0,26
0,other,0,26
0,African,0,26
0,countries,0,26
0,to,0,26
0,export,0,26
0,more,0,26
0,than,0,26
0,"6,000",0,26
0,goods,0,26
0,to,0,26
0,the,0,26
3,US,0,26
0,without,0,26
0,paying,0,26
0,taxes,0,26
0,.,0,26
0,Last,0,27
0,year,0,27
0,",",0,27
3,Kenya,0,27
0,for,0,27
0,first,0,27
0,time,0,27
0,bought,0,27
0,more,0,27
0,goods,0,27
0,from,0,27
0,the,0,27
3,United,0,27
4,States,0,27
0,than,0,27
0,it,0,27
0,did,0,27
0,from,0,27
0,the,0,27
0,whole,0,27
0,of,0,27
3,Africa,0,27
0,",",0,27
0,underlining,0,27
0,growing,0,27
0,commercial,0,27
0,ties,0,27
0,that,0,27
0,are,0,27
0,expected,0,27
0,to,0,27
0,deepen,0,27
0,with,0,27
0,the,0,27
0,entrepreneurship,0,27
0,summit,0,27
0,.,0,27
3,US,0,28
0,exports,0,28
0,to,0,28
3,Kenya,0,28
0,rose,0,28
0,to,0,28
0,Ksh168,0,28
0,billion,0,28
0,last,0,28
0,year,0,28
0,compared,0,28
0,to,0,28
0,the,0,28
0,Ksh146,0,28
0,billion,0,28
0,worth,0,28
0,of,0,28
0,goods,0,28
0,and,0,28
0,services,0,28
0,that,0,28
0,came,0,28
0,from,0,28
3,Africa,0,28
0,",",0,28
0,according,0,28
0,to,0,28
0,data,0,28
0,from,0,28
0,the,0,28
5,Kenya,0,28
6,National,0,28
6,Bureau,0,28
6,of,0,28
6,Statistics,0,28
0,(,0,28
5,KNBS,0,28
0,),0,28
0,.,0,28
0,This,0,29
0,made,0,29
3,America,0,29
3,Kenya,0,29
0,'s,0,29
0,third,0,29
0,largest,0,29
0,source,0,29
0,of,0,29
0,its,0,29
0,imports,0,29
0,",",0,29
0,behind,0,29
3,China,0,29
0,and,0,29
3,India,0,29
0,.,0,29
0,"""",0,30
0,Direct,0,30
0,flights,0,30
0,to,0,30
0,the,0,30
3,US,0,30
0,will,0,30
0,also,0,30
0,help,0,30
0,increase,0,30
0,activity,0,30
0,between,0,30
0,the,0,30
0,two,0,30
0,countries,0,30
0,",",0,30
0,"""",0,30
0,said,0,30
0,Ms,0,30
1,Wakiaga,0,30
0,.,0,30
0,More,0,31
0,on,0,31
0,This,0,31
3,China,1,0
0,market,1,0
0,rout,1,0
0,",",1,0
0,slowing,1,0
0,economy,1,0
0,sap,1,0
0,demand,1,0
0,for,1,0
0,luxury,1,0
0,cars,1,0
5,Reuters,1,0
0,–,1,0
0,23,1,0
0,minutes,1,0
0,ago,1,0
0,Change,1,0
0,By,1,0
1,Norihiko,1,0
2,Shirouzu,1,0
3,BEIJING,1,0
0,(,1,0
5,Reuters,1,0
0,),1,0
0,-,1,0
0,Prices,1,0
0,for,1,0
0,German,1,0
0,luxury,1,0
0,cars,1,0
0,in,1,0
3,China,1,0
0,are,1,0
0,tumbling,1,0
0,as,1,0
0,the,1,0
0,country,1,0
0,'s,1,0
0,stock,1,0
0,market,1,0
0,sell,1,0
0,-,1,0
0,off,1,0
0,and,1,0
0,worries,1,0
0,about,1,0
0,broader,1,0
0,economic,1,0
0,growth,1,0
0,chill,1,0
0,demand,1,0
0,for,1,0
0,auto,1,0
0,brands,1,0
0,that,1,0
0,once,1,0
0,commanded,1,0
0,price,1,0
0,premiums,1,0
0,from,1,0
0,affluent,1,0
0,Chinese,1,0
0,consumers,1,0
0,.,1,0
0,At,1,1
5,Mercedes,1,1
6,-,1,1
6,Benz,1,1
0,stores,1,1
0,operated,1,1
0,by,1,1
0,a,1,1
0,dealer,1,1
0,group,1,1
0,with,1,1
0,nearly,1,1
0,200,1,1
0,multiple,1,1
0,brand,1,1
0,outlets,1,1
0,",",1,1
0,customer,1,1
0,traffic,1,1
0,at,1,1
0,showrooms,1,1
0,has,1,1
0,dwindled,1,1
0,markedly,1,1
0,since,1,1
0,mid-June,1,1
0,",",1,1
0,when,1,1
0,a,1,1
0,stock,1,1
0,market,1,1
0,slide,1,1
0,that,1,1
0,saw,1,1
0,indexes,1,1
0,plunge,1,1
0,by,1,1
0,as,1,1
0,much,1,1
0,as,1,1
0,a,1,1
0,third,1,1
0,began,1,1
0,.,1,1
0,A,1,2
0,senior,1,2
0,manager,1,2
0,at,1,2
0,that,1,2
0,dealer,1,2
0,chain,1,2
0,said,1,2
0,customer,1,2
0,traffic,1,2
0,at,1,2
0,some,1,2
0,of,1,2
0,its,1,2
5,Mercedes,1,2
6,-,1,2
6,Benz,1,2
0,stores,1,2
0,was,1,2
0,"""",1,2
0,down,1,2
0,20,1,2
0,percent,1,2
0,to,1,2
0,30,1,2
0,percent,1,2
0,"""",1,2
0,compared,1,2
0,with,1,2
0,last,1,2
0,year,1,2
0,'s,1,2
0,levels,1,2
0,over,1,2
0,the,1,2
0,past,1,2
0,month,1,2
0,.,1,2
0,A,1,3
3,China,1,3
0,-,1,3
0,based,1,3
0,spokesman,1,3
0,for,1,3
5,Mercedes,1,3
6,-,1,3
6,Benz,1,3
0,owner,1,3
5,Daimler,1,3
6,AG,1,3
0,could,1,3
0,not,1,3
0,immediately,1,3
0,be,1,3
0,reached,1,3
0,for,1,3
0,comment,1,3
0,.,1,3
0,Dealing,1,4
0,with,1,4
0,a,1,4
0,similar,1,4
0,fall,1,4
0,-,1,4
0,off,1,4
0,in,1,4
0,customer,1,4
0,traffic,1,4
0,and,1,4
0,orders,1,4
0,",",1,4
0,a,1,4
0,dozen,1,4
5,BMW,1,4
0,stores,1,4
0,run,1,4
0,by,1,4
0,another,1,4
0,dealer,1,4
0,group,1,4
0,are,1,4
0,being,1,4
0,forced,1,4
0,to,1,4
0,provide,1,4
0,increasingly,1,4
0,steep,1,4
0,discounts,1,4
0,to,1,4
0,entice,1,4
0,customers,1,4
0,",",1,4
0,according,1,4
0,to,1,4
0,the,1,4
0,head,1,4
0,of,1,4
0,the,1,4
0,chain,1,4
0,with,1,4
0,showrooms,1,4
0,across,1,4
3,China,1,4
0,.,1,4
0,He,1,5
0,said,1,5
0,business,1,5
0,had,1,5
0,already,1,5
0,been,1,5
0,weak,1,5
0,",",1,5
0,due,1,5
0,to,1,5
3,China,1,5
0,'s,1,5
0,slowing,1,5
0,economic,1,5
0,growth,1,5
0,and,1,5
0,a,1,5
0,corruption,1,5
0,crackdown,1,5
0,that,1,5
0,has,1,5
0,weighed,1,5
0,on,1,5
0,sales,1,5
0,of,1,5
0,flashy,1,5
0,cars,1,5
0,",",1,5
0,and,1,5
0,his,1,5
0,stores,1,5
0,had,1,5
0,to,1,5
0,offer,1,5
0,a,1,5
0,5,1,5
0,percent,1,5
0,discount,1,5
0,to,1,5
0,grease,1,5
0,sales,1,5
0,last,1,5
0,year,1,5
0,.,1,5
0,Over,1,6
0,the,1,6
0,last,1,6
0,week,1,6
0,or,1,6
0,two,1,6
0,",",1,6
0,as,1,6
0,the,1,6
0,stock,1,6
0,market,1,6
0,rout,1,6
0,pummelled,1,6
0,the,1,6
0,net,1,6
0,worth,1,6
0,of,1,6
0,potential,1,6
0,buyers,1,6
0,",",1,6
0,many,1,6
0,of,1,6
0,those,1,6
0,stores,1,6
0,were,1,6
0,forced,1,6
0,to,1,6
0,offer,1,6
0,steeper,1,6
0,discounts,1,6
0,on,1,6
0,cars,1,6
0,such,1,6
0,as,1,6
0,the,1,6
0,BMW,1,6
0,X6,1,6
0,crossover,1,6
0,SUV,1,6
0,",",1,6
0,according,1,6
0,to,1,6
0,the,1,6
0,dealer,1,6
0,group,1,6
0,chief,1,6
0,.,1,6
0,"""",1,7
0,The,1,7
0,business,1,7
0,has,1,7
0,been,1,7
0,slow,1,7
0,for,1,7
0,the,1,7
0,last,1,7
0,18,1,7
0,months,1,7
0,",",1,7
0,but,1,7
0,lately,1,7
0,we,1,7
0,have,1,7
0,had,1,7
0,to,1,7
0,discount,1,7
0,even,1,7
0,more,1,7
0,",",1,7
0,"""",1,7
0,the,1,7
0,dealer,1,7
0,operator,1,7
0,said,1,7
0,",",1,7
0,asking,1,7
0,for,1,7
0,anonymity,1,7
0,because,1,7
0,he,1,7
0,did,1,7
0,not,1,7
0,want,1,7
0,to,1,7
0,damage,1,7
0,his,1,7
0,group,1,7
0,'s,1,7
0,relationship,1,7
0,with,1,7
5,BMW,1,7
0,.,1,7
0,"""",1,8
0,When,1,8
0,people,1,8
0,walk,1,8
0,into,1,8
0,a,1,8
0,showroom,1,8
0,now,1,8
0,",",1,8
0,with,1,8
0,anything,1,8
0,less,1,8
0,than,1,8
0,15,1,8
0,percent,1,8
0,discount,1,8
0,they,1,8
0,would,1,8
0,not,1,8
0,even,1,8
0,consider,1,8
0,opening,1,8
0,their,1,8
0,wallets,1,8
0,.,1,8
0,"""",1,8
1,Jimmy,1,9
2,Cao,1,9
0,",",1,9
0,a,1,9
3,Beijing,1,9
0,-,1,9
0,based,1,9
5,BMW,1,9
0,spokesman,1,9
0,",",1,9
0,said,1,9
0,he,1,9
0,was,1,9
0,not,1,9
0,able,1,9
0,to,1,9
0,provide,1,9
0,an,1,9
0,immediate,1,9
0,comment,1,9
0,.,1,9
0,The,1,10
0,average,1,10
0,"""",1,10
0,maker,1,10
0,suggested,1,10
0,retail,1,10
0,price,1,10
0,"""",1,10
0,(,1,10
0,MSRP,1,10
0,),1,10
0,for,1,10
0,all,1,10
0,passenger,1,10
0,cars,1,10
0,remains,1,10
0,relatively,1,10
0,high,1,10
0,in,1,10
3,China,1,10
0,",",1,10
0,at,1,10
0,around,1,10
0,"280,000",1,10
0,yuan,1,10
0,(,1,10
0,$,1,10
0,"45,000",1,10
0,),1,10
0,",",1,10
0,according,1,10
0,to,1,10
0,research,1,10
0,firm,1,10
5,JATO,1,10
6,Dynamics,1,10
0,.,1,10
0,But,1,11
0,actual,1,11
0,prices,1,11
0,customers,1,11
0,pay,1,11
0,when,1,11
0,buying,1,11
0,cars,1,11
0,have,1,11
0,fallen,1,11
0,steadily,1,11
0,since,1,11
0,2012,1,11
0,to,1,11
0,slightly,1,11
0,less,1,11
0,than,1,11
0,"170,000",1,11
0,yuan,1,11
0,",",1,11
0,chiefly,1,11
0,because,1,11
0,of,1,11
0,heavy,1,11
0,discounting,1,11
0,by,1,11
0,dealers,1,11
0,",",1,11
0,according,1,11
0,to,1,11
5,JATO,1,11
0,.,1,11
0,SALES,1,12
0,FORECAST,1,12
0,CUT,1,12
0,In,1,13
0,the,1,13
0,first,1,13
0,sign,1,13
0,that,1,13
0,turmoil,1,13
0,in,1,13
0,the,1,13
0,stock,1,13
0,market,1,13
0,could,1,13
0,affect,1,13
0,spending,1,13
0,in,1,13
0,the,1,13
0,real,1,13
0,economy,1,13
0,",",1,13
3,China,1,13
0,'s,1,13
0,automakers,1,13
0,',1,13
0,association,1,13
0,on,1,13
0,Friday,1,13
0,slashed,1,13
0,its,1,13
0,2015,1,13
0,forecast,1,13
0,for,1,13
0,vehicle,1,13
0,sales,1,13
0,growth,1,13
0,to,1,13
0,a,1,13
0,meagre,1,13
0,3,1,13
0,percent,1,13
0,.,1,13
0,The,1,14
5,China,1,14
6,Association,1,14
6,of,1,14
6,Automobile,1,14
6,Manufacturers,1,14
0,(,1,14
5,CAAM,1,14
0,),1,14
0,previously,1,14
0,predicted,1,14
0,combined,1,14
0,sales,1,14
0,for,1,14
0,passenger,1,14
0,and,1,14
0,commercial,1,14
0,vehicles,1,14
0,to,1,14
0,grow,1,14
0,7,1,14
0,percent,1,14
0,to,1,14
0,25.1,1,14
0,million,1,14
0,this,1,14
0,year,1,14
0,.,1,14
0,"""",1,15
0,The,1,15
0,stock,1,15
0,market,1,15
0,has,1,15
0,some,1,15
0,impact,1,15
0,on,1,15
0,the,1,15
0,car,1,15
0,sales,1,15
0,as,1,15
0,it,1,15
0,hurts,1,15
0,cash,1,15
0,flow,1,15
0,",",1,15
0,"""",1,15
5,CAAM,1,15
0,chief,1,15
1,Dong,1,15
2,Yang,1,15
0,told,1,15
0,reporters,1,15
0,on,1,15
0,Friday,1,15
0,",",1,15
0,adding,1,15
0,he,1,15
0,was,1,15
0,confident,1,15
0,sales,1,15
0,would,1,15
0,pick,1,15
0,up,1,15
0,in,1,15
0,the,1,15
0,second,1,15
0,half,1,15
0,.,1,15
0,Defending,1,16
0,the,1,16
0,double,1,16
0,-,1,16
0,digit,1,16
0,operating,1,16
0,margins,1,16
0,that,1,16
0,the,1,16
3,China,1,16
0,car,1,16
0,market,1,16
0,provided,1,16
0,just,1,16
0,a,1,16
0,few,1,16
0,years,1,16
0,ago,1,16
0,is,1,16
0,not,1,16
0,easy,1,16
0,as,1,16
0,the,1,16
0,economy,1,16
0,cools,1,16
0,to,1,16
0,its,1,16
0,slowest,1,16
0,pace,1,16
0,in,1,16
0,growth,1,16
0,in,1,16
0,a,1,16
0,quarter,1,16
0,century,1,16
0,",",1,16
0,and,1,16
0,auto,1,16
0,dealers,1,16
0,in,1,16
3,China,1,16
0,are,1,16
0,tightening,1,16
0,their,1,16
0,belts,1,16
0,to,1,16
0,keep,1,16
0,margins,1,16
0,from,1,16
0,falling,1,16
0,further,1,16
0,.,1,16
0,The,1,17
5,BMW,1,17
0,dealer,1,17
0,group,1,17
0,chief,1,17
0,said,1,17
0,his,1,17
0,outlets,1,17
0,",",1,17
0,which,1,17
